,LAT,LONG,TIMESTAMP
145,-11.018548,-37.070348,2021-02-18 11:32:24
146,-24.02336,-46.49418060000001,2021-02-17 04:34:54
147,-23.9985295,-46.25836049999999,2021-02-16 23:38:23
148,-24.0943503,-46.6596712,2021-02-15 19:47:11
149,-24.0943503,-46.6596712,2021-02-15 19:45:50
150,-24.0943503,-46.6596712,2021-02-15 19:44:57
151,-23.9592201,-46.3317787,2021-02-06 23:41:36
152,-13.8939046,-38.9504994,2021-02-01 16:24:22
153,-29.9479039,-50.1160964,2021-01-28 01:11:25
154,-28.3357056,-48.7069956,2021-01-22 01:41:43
155,-24.2649987,-46.9189084,2021-01-21 11:56:48
156,-23.9681964,-46.3509623,2021-01-20 15:47:52
157,-25.6554448,-48.4417363,2021-01-19 14:31:48
158,-27.5948036,-48.5569286,2021-01-19 08:33:48
159,-18.0833977,-39.5499731,2021-01-10 10:06:42
160,-18.0833977,-39.5499731,2021-01-10 10:04:24
161,-19.919052,-43.9386685,2021-01-08 23:59:38
162,-2.5306721,-44.2988947,2021-01-05 15:51:14
163,-27.6661001,-48.4755307,2021-01-04 20:31:26
164,-27.676062,-48.4862231,2021-01-03 17:31:20
165,-12.8814128,-38.3037486,2020-12-29 13:28:40
166,-27.5948036,-48.5569286,2020-12-28 17:00:23
167,-12.5745995,-38.0049816,2020-12-13 19:31:03
168,-26.9838221,-48.6383253,2020-12-11 23:04:58
169,-14.7981287,-39.0346984,2020-12-09 23:35:27
170,-14.2273932,-47.9233185,2020-12-08 17:10:22
171,-27.7395642,-48.5110567,2020-12-07 16:39:16
172,-27.4532616,-48.3804216,2020-12-02 15:24:34
173,-16.4443537,-39.0653656,2020-12-01 16:08:28
174,-11.0611672,-37.099792,2020-12-01 09:29:44
175,-11.018548,-37.070348,2020-11-28 22:24:19
176,-27.4618653,-48.3761513,2020-11-27 21:13:14
177,-27.432135,-48.514018,2020-11-15 12:07:52
178,-27.0061994,-48.5818801,2020-11-14 01:06:45
179,-8.5065261,-35.0059569,2020-11-11 19:47:19
180,-28.028072,-48.6216255,2020-11-09 00:56:58
181,-28.028072,-48.6216255,2020-11-09 00:51:45
182,-26.9532541,-48.6312964,2020-11-08 20:20:55
183,-26.9532541,-48.6312964,2020-11-08 20:12:45
184,-14.7981287,-39.0346984,2020-11-08 19:26:56
185,-27.4937746,-48.3955175,2020-11-08 00:50:12
186,-27.709706,-48.5024706,2020-11-06 12:55:22
187,-12.5499241,-37.9890645,2020-11-04 13:51:34
188,-29.7579178,-50.0174127,2020-11-04 03:44:12
189,-27.676062,-48.4862231,2020-11-02 01:54:14
190,-27.676062,-48.4862231,2020-11-02 01:54:11
191,-27.6661001,-48.4755307,2020-10-30 17:30:24
192,-24.2454211,-46.9079323,2020-10-26 22:52:14
193,-11.1139401,-37.1345344,2020-10-26 19:07:47
194,-27.5734502,-48.42493899999999,2020-10-26 03:25:09
195,-13.8939046,-38.9504994,2020-10-24 22:20:26
196,-26.2491703,-48.6355521,2020-10-22 17:27:00
197,-23.0277513,-43.4630823,2020-10-19 00:08:37
198,-24.0120485,-46.404064,2020-10-16 18:07:00
199,-25.6972521,-48.4759701,2020-10-16 04:00:56
200,-24.0143011,-46.27296860000001,2020-10-11 18:25:43
201,-5.988468699999999,-35.1279166,2020-10-06 18:26:00
202,-6.281454399999999,-35.0350305,2020-10-03 23:39:26
203,-9.3595581,-35.4744458,2020-09-29 23:03:24
204,-8.5065261,-35.0059569,2020-08-31 02:29:50
205,-5.7841695,-35.1999708,2020-08-29 08:52:58
206,-9.6660417,-35.7352167,2020-08-25 17:41:59
207,-2.483685,-44.2607498,2020-08-24 17:47:47
208,-10.9266526,-37.0729014,2020-08-16 10:49:18
209,-16.8080351,-39.1493607,2020-06-20 16:33:58
210,-27.6022459,-48.4326839,2020-04-13 04:50:42
211,-10.9266526,-37.0729014,2020-04-09 16:13:39
212,-27.1355235,-48.5940603,2020-03-31 22:02:39
213,-27.5740887,-48.4312669,2020-03-31 15:06:13
214,-28.3357056,-48.7069956,2020-01-24 23:42:48
215,-6.6901902,-34.9342394,2019-09-29 22:39:53
216,-3.0244059,-39.6472396,2018-09-09 01:54:58
217,-28.028072,-48.6216255,2018-01-18 15:01:42
218,-14.8089785,-39.0253215,2017-11-22 21:52:10
219,-23.9592201,-46.3317787,2016-02-07 23:11:11
220,-7.796824399999999,-34.8378105,2017-12-26 10:47:38
221,-4.5541931,-37.6735089,2018-01-03 14:30:32
222,-2.5977347,-44.20997910000001,2018-03-25 17:02:18
223,-14.9508073,-39.0095433,2018-11-17 23:08:02
224,-24.080176,-46.5925567,2018-12-15 00:15:18
225,-13.6298036,-38.9011281,2019-01-14 01:43:54
226,-7.365375299999998,-34.7980274,2019-05-07 22:51:39
227,-23.006885,-44.3185105,2019-08-07 00:50:47
228,-26.2491703,-48.6355521,2019-12-25 10:38:35
229,-12.9366359,-38.36085569999999,2020-01-01 20:53:07
230,-25.5161867,-48.3339796,2020-01-18 20:38:29
231,-8.11807,-34.8932392,2020-02-02 18:40:28
232,-8.5065261,-35.0059569,2020-07-09 15:30:27
233,-2.483323,-44.265545,2020-10-07 21:34:52
234,-8.5065261,-35.0059569,2020-11-10 01:21:53
235,-32.0407893,-52.1016953,2020-11-18 00:21:11
236,-24.1920347,-46.7968369,2020-12-07 21:23:02
237,-27.4618653,-48.3761513,2020-12-12 20:20:15
238,-12.3892571,-37.8825897,2020-12-27 19:26:36
239,-12.4910353,-37.9632375,2021-01-13 21:10:50
240,-29.9838184,-50.1343012,2021-02-13 19:32:47
0,-12.9366359,-38.36085569999999,2021-11-05 22:26:25
1,-28.0785719,-48.6283944,2020-02-11 23:16:03
2,-26.0713721,-48.6178349,2020-02-08 22:07:12
3,-24.7389753,-47.5582392,2020-01-15 23:56:22
4,-26.2491703,-48.6355521,2019-12-28 11:16:11
5,-27.676062,-48.4862231,2019-12-26 14:02:04
6,-26.214976,-48.52257729999999,2019-12-24 23:59:16
7,-25.5161867,-48.3339796,2019-11-12 23:58:03
8,-8.1671139,-34.91327260000001,2019-10-25 19:28:36
9,-4.3187168,-37.9299563,2019-10-19 16:42:49
10,-25.0177743,-47.9217116,2018-11-09 16:34:32
11,-27.4937746,-48.3955175,2018-02-06 23:08:39
12,-8.527125,-35.0099011,2021-05-08 21:54:41
13,-12.9777334,-38.501648,2021-03-29 01:11:10
14,-16.7708089,-39.14089209999999,2021-03-28 14:04:33
15,-23.7968008,-46.0246024,2021-02-09 23:09:05
16,-28.8254547,-49.2295613,2021-01-22 21:46:07
17,-25.8727722,-48.5647087,2020-12-23 18:27:11
18,-0.5917846,-47.5865701,2020-12-13 22:52:44
19,-23.5837889,-45.3360285,2020-12-05 21:23:25
20,-18.7430856,-39.7601032,2020-12-01 18:34:04
21,-26.7745425,-48.636863,2020-11-12 18:03:48
22,-9.6616448,-35.7051921,2020-11-11 09:33:37
23,-8.889756799999999,-35.151541,2020-11-10 17:34:00
24,-5.8427183,-35.2736745,2020-11-03 00:42:15
25,-10.9266526,-37.0729014,2020-10-24 17:42:12
26,-3.8589833,-38.3795486,2020-10-23 18:39:58
27,-13.9427642,-38.9298244,2020-10-17 18:16:37
28,-10.9266526,-37.0729014,2018-09-25 22:58:51
29,-28.9524588,-49.3801316,2018-02-17 20:10:56
30,-8.7578663,-35.1050712,2018-10-12 18:22:58
31,-8.11807,-34.8932392,2018-11-15 15:34:17
32,-25.5161867,-48.3339796,2020-01-15 00:22:31
33,-22.3534263,-42.7076107,2020-01-21 02:01:09
34,-8.5065261,-35.0059569,2020-11-14 01:27:51
0,-12.6519741137,-38.0679166317,2021-12-26 19:38:30
1,-23.9575646237,-46.336996512,2021-12-26 11:22:45
2,-12.92925,-38.37448,2021-12-14 15:58:01
3,-23.7634836111,-45.7213754123,2021-12-11 22:54:16
4,-24.0107,-46.4179,2021-12-08 14:30:29
5,-8.504167,-35.001111,2021-11-27 19:41:29
6,-3.6263584899196,-38.728544712067,2021-12-26 10:55:46
8,-8.1145592,-35.0201221,2021-09-24 00:52:57
9,-10.283728595112,-37.016961566462,2021-09-10 16:48:41
10,-7.1207,-34.8627,2019-11-19 23:49:56
11,-5.78333,-35.2167,2018-03-10 22:13:20
12,-6.97699759882,-34.829814502,2016-07-01 18:53:44
13,-8.118624835,-34.895033791,2016-03-25 19:34:07
14,-11.26833,-37.43833,2015-06-05 00:59:37
15,-5.92498751823,-35.2003495396,2015-05-14 21:21:36
16,-8.02938535195,-34.9210330466,2015-01-26 13:22:42
17,-16.3813456334,-39.0266946238,2015-01-04 17:31:47
18,-9.70792208486,-35.8140373828,2014-01-28 23:48:33
19,-0.596774242228,-47.3024502051,2013-12-11 16:22:19
22,-23.982415291567,-46.187619238752,2020-02-07 22:42:03
23,-25.697909,-48.4694699,2020-02-05 21:58:40
24,-27.389851459494,-48.421736679916,2020-02-01 05:53:03
25,-8.504167,-35.001111,2020-01-20 11:53:32
26,-18.074386052189,-39.543947177445,2020-01-20 01:10:19
28,-23.9936,-46.2564,2019-12-28 20:49:58
32,-27.593,-48.5466,2019-12-16 13:45:26
33,-9.0143012340361,-35.222041476998,2019-10-30 21:06:55
34,-24.74888,-47.55143,2019-12-03 23:28:47
35,-27.436713884103,-48.402227542638,2019-11-25 21:28:11
37,-26.204773344596,-48.537759487843,2019-11-09 14:43:49
38,-18.074386052189,-39.543947177445,2019-11-06 15:39:56
41,-12.936952030637,-38.32791500946,2019-10-13 20:43:04
42,-13.935612130399,-38.929308268885,2019-10-06 15:37:36
43,-5.7,-35.2042,2019-10-06 13:14:18
44,-7.84529,-35.25541,2019-08-25 15:31:24
45,-7.7850953297134,-34.836144383283,2019-06-24 18:12:10
46,-23.798502469569,-46.01840712711,2019-06-18 12:02:05
47,-14.47485,-39.0824,2019-02-20 19:40:08
48,-8.74989,-35.09696,2018-04-21 23:46:34
49,-22.908,-43.1975,2019-02-05 00:55:19
50,-13.0136127,-38.4880528,2019-01-30 20:26:42
51,-6.4660803236408,-34.97289958912,2019-01-21 12:55:25
52,-9.13333,-36.2833,2019-01-10 16:00:42
53,-12.438646482302,-37.917692373973,2019-01-09 13:39:50
54,-18.5836,-39.73399,2019-01-06 20:32:45
55,-27.439392982637,-48.489425182343,2018-12-31 11:28:46
56,-8.1278479757738,-34.903626032148,2018-12-30 11:40:54
57,-23.819898019925,-45.454387664795,2018-12-20 14:18:51
58,-11.326459327246,-37.283392944234,2018-12-17 15:09:02
59,-12.8358402,-38.2416992,2018-12-11 12:56:07
60,-9.6232,-35.7248,2018-12-05 13:49:28
61,-9.6232,-35.7248,2018-11-29 16:18:41
62,-27.052005027981,-48.588859109567,2018-11-26 18:11:02
63,-18.739339302551,-39.748243348615,2018-11-25 18:24:36
64,-9.406711,-38.212674,2018-11-17 22:22:55
65,-14.280907864772,-38.989463160446,2018-11-15 08:48:35
66,-27.445504423231,-48.525410452858,2018-11-13 11:47:47
68,-27.14857845452,-48.489187241047,2018-11-09 16:30:07
69,-8.4723130406526,-34.99589580531,2018-10-31 17:59:20
70,-7.2207331,-34.8451923,2018-10-31 13:15:17
71,-5.51667,-35.2667,2018-10-30 19:43:11
72,-3.89929,-38.36698,2018-10-14 09:48:08
